,formula_charge,formula_discharge,voltage
345,Mn(NbS2)3,LiMn2(NbS2)6,1.7160304067
352,Na3MnO3,Na6LiMn2O6,0.9366618617
1233,Li5V6O5F19,Li11V6O5F19,3.2797249717
1103,LiV2F7,Li2V2F7,2.6684367033
591,Mn3FeO8,Li3Mn3FeO8,3.4138972767
686,Fe3Cu(PO4)4,Li4Fe3Cu(PO4)4,3.6939018583
241,V6O5F19,Li5V6O5F19,4.3272369327
808,TiMn3(PO4)6,Li6TiMn3(PO4)6,4.098025345
1157,Li3MnF7,Li4MnF7,4.6105706333
876,LiV2S2(O4F3)2,LiVSO4F3,4.6765852033
276,La4FeO8,LiLa4FeO8,3.3678421592
145,Mn5Cr3O16,Li4Mn5Cr3O16,3.8935755617
903,MnFe3(PO4)4,Li4MnFe3(PO4)4,3.5833817696
609,LiTi2Mn3O10,Li3Ti2Mn3O10,3.3025959792
838,V3Ni(PO4)4,Li4V3Ni(PO4)4,2.7740797433
67,CoCu(PO4)2,Li2CoCu(PO4)2,4.3653732817
1097,Li4Cu(PO4)2,Li5Cu(PO4)2,3.3265552533
28,Ba3LaNb3O12,Ba3LiLaNb3O12,1.3228486967
365,Li3Mn3(PO4)4,Li4Mn3(PO4)4,3.8737356767
752,Cr(WO4)3,Li4Cr(WO4)3,3.7004695808
917,Li2Mo(PO4)2,Li3Mo(PO4)2,3.1696458383
720,VPO4F,Li2VPO4F,2.8132673433
967,LiMnP2O7,Li2MnP2O7,3.7419437633
730,Co3SbO8,Li3Co3SbO8,3.5730727133
1153,MnF3,LiMnF3,3.9999172933
1130,Li2VF5,Li3VF5,2.1906048008
381,MnPO4,LiMn2(PO4)2,3.73647442
222,Na3Mo(OF)3,Na3LiMo(OF)3,1.6589940167
665,Ti2O3,LiTi4O6,1.2077308467
659,VO2,LiV4O8,2.9446518667
69,Co3Cu3(TeO8)2,Li4Co3Cu3(TeO8)2,4.2274550367
630,Li(NiO2)2,Li2NiO2,2.83525455
980,Mn(CoO2)4,Li3Mn(CoO2)4,3.3007559833
1175,P2WO7,LiP2WO7,2.4374007983
1202,LiCo2(PO4)2,LiCoPO4,4.2938296033
1100,LiCuPO4,Li2CuPO4,3.0010699433
821,LiV2P4(HO8)2,Li3V2P4(HO8)2,4.2390762233
1018,Li2VO3F,Li3VO3F,3.0385893508
373,MnP2O7,LiMnP2O7,4.2068677742
954,LiMn(PO3)4,Li2Mn(PO3)4,4.2968052083
606,LiMn5O8,Li3Mn5O8,2.6932105217
147,TiCr3(PO4)6,Li6TiCr3(PO4)6,3.95384122
8,AgPdF6,LiAg2Pd2F12,5.0525056567
796,Mn3Cr2Sn(PO4)6,Li4Mn3Cr2Sn(PO4)6,3.1432725783
544,Co15O28,Li4Co15O28,3.9633465542
1177,P4WO12,LiP4WO12,3.3213239333
977,LiMn3(PO4)3,LiMn2(PO4)2,3.7793830033
656,VO2,LiV4O8,2.9542953867
144,LiMn3CrO8,Li2Mn3CrO8,3.5390234667
974,MnPO4,LiMnPO4,3.7464543333
1197,CoP2O7,LiCoP2O7,4.8983970783
1231,VOF3,LiVOF3,4.3378111833
758,LiCo3NiO8,Li4Co3NiO8,3.67976904
1199,LiCoP2O7,Li2CoP2O7,4.4246094858
800,LiCo(CO3)2,Li2Co(CO3)2,4.0232340183
472,LiV(PO4)2,Li2V(PO4)2,4.1130189767
293,Li3Fe3NiO8,Li4Fe3NiO8,3.5683084067
582,V2OF5,LiV2OF5,3.4425170133
1169,Cr(PO3)4,LiCr(PO3)4,5.1799417483
783,Cr3Co5O16,Li4Cr3Co5O16,3.8708393658
400,Mn3VO8,Li2Mn3VO8,3.5455064892
167,Yb2Cu(GeO3)4,LiYb2Cu(GeO3)4,4.0358903367
1131,Li2VF6,Li3VF6,3.8033203233
1240,Li7VO5F,Li8VO5F,1.0045288083
1210,Mn3OF6,Li2Mn3OF6,3.6346490308
1145,VF5,LiVF5,4.7172793833
1165,Li(FeO2)2,Li5(FeO2)4,2.770255365
524,VF4,LiVF4,4.3148518117
802,Mn2CrNi3(PO4)6,Li4Mn2CrNi3(PO4)6,4.1254750458
573,LiMn2F7,Li2Mn2F7,4.3096626367
1266,Li9Co15O28,Li13Co15O28,3.1377439833
550,CoO2,Li(CoO2)2,4.0005551867
249,VOF3,LiVOF3,4.4614474642
1247,LiFeP2O7,Li2FeP2O7,3.0628322783
551,Li5CoO4,Li6CoO4,2.1441206842
692,LiCu(HO)4,Li2Cu(HO)4,2.9016335933
678,MnO2,LiMn3O6,3.5814169567
1116,Li3V2F9,Li4V2F9,2.5865506683
261,VOF3,LiV4(OF3)4,4.3543425867
1282,LiV2(PO4)2,LiVPO4,2.3685612533
493,LiV8O20,LiV2O5,3.5228730633
399,LiMn3V2O10,Li5Mn3V2O10,2.8494531967
269,LiVFeP2(HO5)2,Li2VFeP2(HO5)2,3.5063308417
77,LiCrCo3O8,Li2CrCo3O8,3.7044075067
741,V(CO3)2,Li2V(CO3)2,2.9093660558
588,LiV2(OF3)2,LiVOF3,4.2072740667
428,TaMoS4,LiTaMoS4,2.1903623067
24,K3Nb3(BO6)2,K3LiNb3(BO6)2,1.4893430967
912,Li15Cr2O12,Li17Cr2O12,2.2490273183
7,AgPbF6,LiAgPbF6,4.9600908167
907,Mn11Fe(PO4)12,Li12Mn11Fe(PO4)12,3.793832465
214,KRbMnF6,KRbLiMnF6,3.8908514567
1270,Li3V4(PO4)6,Li3V2(PO4)3,3.5036373833
616,LiMoP4O13,Li2MoP4O13,4.0423901817
1259,V5O12,Li3V5O12,3.4561938433
134,CrPHO5,LiCr2P2(HO5)2,4.5401327367
465,Yb5(ReO6)2,LiYb5(ReO6)2,3.5420628967
577,LiMnF4,Li2MnF4,4.0336373817
820,VPHO5,LiVPHO5,3.4887150083
664,Li3V5O10,LiVO2,2.2365881467
1255,V5O12,Li3V5O12,3.3736100867
890,LiMn3CrO8,Li4Mn3CrO8,3.1838040967
19,Fe2As2H2PbO10,LiFe2As2H2PbO10,3.0942195767
362,Mn2P5O16,LiMn2P5O16,4.4956598117
643,TiSe2,LiTiSe2,1.5629764767
429,Ta4MoS10,LiTa4MoS10,2.0919896767
905,MnFe(PO4)2,Li4Mn3Fe3(PO4)6,3.5681771433
422,MoPO5,LiMo2(PO5)2,3.3817270267
1019,V6O5F19,Li5V6O5F19,4.2485246613
1125,LiVF6,Li2VF6,4.6112441233
1115,LiV2F9,Li3V2F9,4.0600477383
645,VSe2,LiVSe2,1.4518114167
965,Mn6P7O24,LiMn6P7O24,3.9673356983
433,Na4Ti3O8,Na4LiTi3O8,1.0380490767
85,LiFeCoO4,Li2FeCoO4,3.2287657867
1188,Li2P8W3O29,Li6P8W3O29,3.5927087546
517,FeF3,LiFeF3,3.4614077967
348,Mn2NiO6,LiMn2NiO6,4.3207650967
809,LiMn(SO4)2,Li2Mn(SO4)2,4.4221757283
1187,P3(WO6)2,LiP3(WO6)2,2.9708819583
426,Ta4MoS8,LiTa4MoS8,2.1105227367
901,LiMnCrO4,Li2MnCrO4,2.5885870733
148,VCr(P2O7)2,LiVCr(P2O7)2,4.4146559517
184,Li3MnCu3O8,Li4MnCu3O8,3.3292177967
344,MnNbO4,LiMnNbO4,2.8316070217
948,LiMnO2,Li2MnO2,1.5588388683
699,Ti3Cu3(TeO8)2,Li4Ti3Cu3(TeO8)2,3.6525002283
1224,Li9Co13O28,Li14Co13O28,3.6306694753
1086,Ti3Mn3(SbO8)2,Li4Ti3Mn3(SbO8)2,3.1552720408
405,Mn3V(PO4)6,Li6Mn3V(PO4)6,3.9649876617
958,Mn3(P2O7)2,Li2Mn3(P2O7)2,3.9945058408
473,LiV(PO4)2,Li2V(PO4)2,3.7780681692
959,LiMn2P5O16,Li3Mn2P5O16,3.8330633758
371,MnP2O7,LiMnP2O7,4.2691292042
620,MnP2O7,LiMnP2O7,4.3473935667
951,LiMn3O6,Li8Mn9O18,3.1912945323
772,Li3Co3CuO8,Li4Co3CuO8,3.5799381333
737,LiMnPCO7,Li2MnPCO7,3.8944815933
314,FePO4,LiFePO4,3.4991381842
360,Li2Mn(PO4)2,Li3Mn(PO4)2,4.2830551567
312,FeP2O7,LiFeP2O7,4.6661353492
1156,MnF3,LiMn2F6,4.5051158633
723,MnCr(PO4)2,Li2MnCr(PO4)2,3.2194408433
985,Li2Mn2(PO4)3,Li3Mn2(PO4)3,4.3086595483
675,MnO2,LiMn2O4,3.6270496392
387,MnSbO4,LiMnSbO4,3.1762640692
722,NbCr3(PO4)6,Li6NbCr3(PO4)6,3.56281792
284,Mn4FeO8,LiMn4FeO8,3.1962840267
1123,Li3VF6,Li4VF6,2.0325840283
121,LiCo2(PO4)3,Li3Co2(PO4)3,4.3812714692
1254,LiFeP2O7,Li2FeP2O7,3.1383297258
157,Cs2W(OF2)2,Cs2LiW(OF2)2,2.7752883767
